comics,price
superman,30
wonder woman,15
batman,30
fables,30
fables,30
lazarus,15
erased,30
wonder woman,30
fables,15
x-men,15
x-men,30
ninja turtle,7
wonder woman,15
fables,7
erased,15
ninja turtle,7
x-men,30
wonder woman,30
wonder woman,7
superman,15
ninja turtle,15
x-men,7
erased,7
erased,15
x-men,7
wonder woman,7
wonder woman,30
erased,7
wonder woman,15
lazarus,30
x-men,30
fables,7
wonder woman,30
wonder woman,30
batman,30
ninja turtle,7
ninja turtle,15
lazarus,15
fables,15
lazarus,7
ninja turtle,30
fables,30
ninja turtle,7
superman,15
x-men,15
lazarus,7
erased,15
x-men,30
ninja turtle,7
fables,30
fables,7
ninja turtle,30
ninja turtle,30
wonder woman,15
lazarus,7
fables,30
batman,30
lazarus,15
erased,30
superman,15
fables,7
lazarus,15
wonder woman,15
x-men,7
fables,7
lazarus,15
batman,15
wonder woman,7
batman,30
fables,30
lazarus,7
erased,30
ninja turtle,30
erased,30
lazarus,30
x-men,30
superman,30
superman,30
ninja turtle,30
fables,7
x-men,15
wonder woman,30
erased,30
wonder woman,30
erased,7
batman,15
erased,30
x-men,15
wonder woman,15
x-men,30
batman,7
wonder woman,30
erased,30
fables,7
batman,30
ninja turtle,30
fables,30
wonder woman,30
erased,7
erased,7
